"Rank","Song","Artist","Year","Lyrics","Source"
59,"cherish","madonna",1989," so tired of broken hearts and losing at this game before i start this dance i take a chance in telling you i want more than just romance you are my destiny i cant let go baby cant you see cupid please take your aim at mecherish the thought of always having you here by my side oh baby i cherish the joy you keep bringing it into my life im always singing it cherish your strength you got the power to make me feel good and baby i perish the thought of ever leaving i never wouldi was never satisfied with casual encounters i cant hide my need for two hearts that bleed with burning love thats the way its got to be romeo and juliet they never felt this way i bet so dont underestimate my point of viewcherish the thought of always having you here by my side oh baby i cherish the joy you keep bringing it into my life im always singing it cherish your strength you got the power to make me feel good and baby i perish the thought of ever leaving i never wouldwho you cant get away i wont let you who you i could never forget to cherish is the word i use to remind me of your loveromeo and juliet they never felt this way i bet so dont underestimate my point of viewwho you cant get away i wont let you who you i could never forget to cherish is the word i use to remind me of your lovecherish the thought of always having you here by my side oh baby i cherish the joy you keep bringing it into my life im always singing it cherish your strength you got the power to make me feel good and baby i perish the thought of ever leaving i never wouldcherish give me faith give me joy my boy i will always cherish you give me faith give me joy my boy i will always cherish youcherish your strength youre givin it youre givin it to me boy perish the thought youre givin it youre givin it to me boy i could never forget to keep giving me all your joycherish the thought give me faith give me joy my boy i will always cherish you cherish the joy give me faith give me joy my boy i will always cherish you cherish your strength youre givin it to me boy keep giving me all your joy perish the thought youre givin it to me boy keep giving me all your joy ",1
60,"when the children cry","white lion",1989," little child dry your crying eyes how can i explain the fear you feel insidecause you were born into this evil world where man is killing man and no one knows just why what have we become just look what we have done all that we destroyed you must build againwhen the children cry let them know we tried cause when the children sing then the new world beginslittle child you must show the way to a better day for all the youngcause you were born for all the world to see that we all can live with love and peace no more presidents and all the wars will end one united world under godwhen the children cry let them know we tried cause when the children sing then the new world beginswhat have we become just look what we have done all that we destroyed you must build again no more presidents and all the wars will end one united world under godwhen the children cry let them know we tried when the children fight let them know it aint right when the children pray let them know the way cause when the children sing then the new world begins ",1
61,"18 and life","skid row",1989," ricky was a young boy he had a heart of stone lived 9 to 5 and he worked his fingers to the bone just barely get out of school came from the edge of town fought like a switchblade so no one could take him down oh nohe had no money no no good at home he walked the streets as soldier and he fought the world aloneand now its 18 and life you got it 18 and life you know your crime is time and its 18 and life to go 18 and life you got it 18 and life you know your crime is time and its 18 and life to gotequila in his heartbeat his veins burned gasoline he kept his motor running but it never kept him clean they say he loved adventure rickys the wild one he married trouble and had a courtship with a gunbang bang shoot em up the party never ends you cant think of dying when the bottles your best friendand now its 18 and life you got it 18 and life you know your crime is time and its 18 and life to go 18 and life you got it 18 and life you know your crime is time and its 18 and life to go yeahaccidents will happen they all heard ricky say he fired his sixshot to the wind that child blew a child awayyeah yeah yeah yeah yeah 18 and life you got it 18 and life you know your crime is time and its 18 and life to go 18 and life you got it 18 and life you know your crime is time and its 18 and life to go ",1
62,"i dont want your love","duran duran",1989," i dont mind if youre keeping someone else behind i dont care cause youve got something i can share hey take your chance even if its onlyonly while were dancing in the light of your second sight because when you understand me you might feel good around me nowi dont want your love to bring me down i dont want your love so turn it aroundi wont turn you out if youve got someone else someone else you care about because you must realize my obsessive fascination is in your imagination now pick it upi dont want your love to bring me down i dont what your love i dont what your love i dont want your love so turn it around i dont what your love i dont what your loveyour rhythm is the power to move me its something you control completely i dont want your love i dont want your love i dont what your lovei like noise cause i like waking up the house i cannot sit down i cant shut my mouth but when you understand me you might feel good around me now back it upyour rhythm is the power to move me its something you control completely i dont want your love i dont want your love i dont what your lovei dont want your love to bring me down i dont what your love i dont what your love i dont what your love i dont want your love so turn it around i dont what your love i dont what your love i dont what your lovei dont want your love i dont what your love i dont want your love i dont what your lovei dont want your love ",1
63,"second chance","38 special",1989," since you been gone i feel my life slipping away i look to the sky and everything is turnin grayall i made was one mistake how much more will i have to pay why cant you think it over why cant you forget about the pastwhen love makes this sound babe a heart needs a second chance dont put me down babe cant you see i love yousince you been gone ive been in a trance this heart needs a second chance dont say its over i just cant say goodbyeso this is love standing in the pouring rain i fooled on you but she never meant a thingand i know i aint got no right to ask you to sympathize but why cant you think it over why cant you forget the pastwhen love makes this sound babe a heart needs a second chance dont put me down babe cant you see i love yousince you been gone ive been in a trance this heart needs a second chance dont say its over i just cant say goodbyei never loved her i never needed her she was willing and thats all there is to say dont forsake me please dont leave me nowa heart needs a second chanceyeah you been gone and ive been in a trance this heart needs a second chance dont say its over i just cant say goodbyeplease forgive me and forget it i was wrong and i admit it but why cant we talk it over why cant we forget about forget about the pasta heart needs a second chance when love makes this sound babe a heart needs a second chance dont put me down babeyou been gone ive been in a trance this heart needs a second chance dont say its over i just cant say goodbyea heart needs a second chance when love makes this sound babe a heart needs a second chancea heart needs a second chance when love makes this sound babe a heart needs a second chancea heart needs a second chance a heart needs a second chance a heart needs a second chance ",1
64,"the way you love me","karyn white",1989," hey baby youre drivin me crazy with that special lovin feelin that you give to me and im so proud you want me to be your lady now i know how it feels to live a fantasyi used to dream about love and sure its how it was but i dont have to dream no morecause i i got more than i can stand i found me a lover in another man i got you baby thats all i was waiting forand i love the way you love me i place no one above the way that you love and i love the way you love me and baby no matter what i love the i love the way you love yeah yeahoh baby baby baby i might as well face it ive fallen in too deep youve got control of me without a doubt it has to be the greatest you are every bit the man i had hoped youd bei used to dream about love and sure its how it was but i dont have to dream no more oh nocause when i think about your lovin and how good it can be i get excited bout the feeling that is given to me so wont you keep me comin baby cause i love the joy you bring oh i loveand i love the way you love me i place no one above the way that you love and i love the way you love me and baby no matter what i love the i love the way you love yeah yeah i love the way you love yeah i gotta love incomprehensible i love the wayone for all the special love two a sensitive and tender touch three because you please you bring out the best in mecause when i think about your lovin and how good it can be i get excited bout the feelin that is given to me so wont you keep me comin baby cause i love the joy you bring i lovei love the way you love yeah yeah i love the wayand i love the way you love me i place no one above the way that you love and i love the way you love me and baby no matter what i love the i love the way you loveincomprehensibleone for all the special love two a sensitive and tender touch three because you please you bring out the best in mecause when i think about your lovin and how good it can be i get excited from the feelin that is given to me so wont you keep me comin baby cause i love the joy you bringi love the way you love me i place no one above the way that you love and i love the way you love me and baby no matter what i love the i love the way you lovelove your love love your love i love the way you love love your love love your love i love the way and i love the way you love me ",1
65,"funky cold medina","tone loc",1989," alright dig itcold coolin at a bar and im lookin for some action but like mike jagger said i cant get no satisfaction the girls are all around but none of them wanna get with me my threads are fresh and im lookin def yo whats up with l o cthe girls all jockin at the other end of the bar havin drinks with some noname chump when they know that im the star so i got up and strolled over to the other side of the cantina i asked the guy why you so fly he said funky cold medinafunky cold medinathis brother told me a secret on how to get more chicks put a little medina in your glass and the girlsll come real quick its better than any alcohol or aphrodisiac a couple of sips of this love potion and shell be on your lapso i gave some to my dog when he began to beg then he licked his bowl and he looked at me and did the wild thing on my leg he used to scratch and bite me before he was much much meaner but now all the poodles run to my house for the funky cold medinayou know what im sayin i got every dog in my neighborhood breakin down my door i got spuds mckenzie alex from strohs they wont leave my dog alone with that medina pali went up to this girl she said hi my name is sheena i thought shed be good to go with a little funky cold medina she said id like a drink i said ehm ok ill go get it then a couple sips she cold licked her lips and i knew that she was with itso i took her to my crib and everything went well as planned but when she got undressed it was a big old mess sheena was a man so i threw him out i dont fool around with no oscar meyer wiener you must be sure that the girl is pure for the funky cold medinayou know aint no plans with a man this is the 80s and im down with the ladies break it downback in the saddle lookin for a little affection i took a shot as a contestant on the love connection the audience voted and you know they picked a winner i took my date to the hilton for medina and some dinnershe had a few drinks im thinkin soon what ill be gettin instead she started talkin bout plans for our weddin i said wait slow down love not so fast says ill be seein ya thats why i found you dont play around with the funky cold medinaya know what im sayin that medinas a monster yallfunky cold medina ",1
66,"in your room","the bangles",1989," i love it in your room at night youre the only one who gets through to me in the warm glow of the candlelight oh i wonder what youre gonna do to mein your room i come alive when im with you ill do anything you want me to in your roomi love it in your room all day when youre gone i like to try on all your clothes you wont regret it if you let me stay ill teach you everything that a boy should knowin your room im alive when im with you gonna make your dreams come true in your roomi feel good in your room lets lock the world out feels so good when we kiss nobody ever made me crazy like thisi love it in your room at night youre the only one who gets through to me in the warm glow of the candlelight oh i wonder what youre gonna do to mein your room ill do anything you want me to i only want to be with you in your room in your roomi feel good in your room lets lock the world out feels so good when we kiss nobody ever made me crazy like this in your room in your roomin your room in your room in your room in your room in your room in your room ",1
67,"miss you like crazy","natalie cole",1989," even though its been so long my love for you keeps going strong i remember the things that we used to do a kiss in the rain till the sun shined through i tried to deny it but im still in love with youi miss you like crazy i miss you like crazy ever since you went away every hour of every day i miss you like crazy i miss you like crazy no matter what i say or do theres just no getting over youi can see the love shining in your eyes and it comes as such a sweet surprise it seems believing is worth the wait so hold me and tell me its not too late were so good together were starting forever nowand i miss you like crazy i miss you like crazy ever since you went away every hour of every day i miss you like crazy i miss you baby love like ours will never end just touch me and were there againjust one night and well have to find the feelings like we used to do hold on tight and whatever comes our way were gonna make it through it seems to believing is worth the wait so hold me and tell me its not too late were so good together were starting forever nowand i miss you like crazy i miss you like crazy no matter what i say or do theres just no getting over you and i miss you baby i miss you baby all the tender love you gave me when a feeling gets this strong you know the real thing come alongand i miss you i miss you like crazy baby only your sweet love can save me i miss you like crazy a love like ours will never end just touch me and were there again miss you like crazy i miss you like crazy ",1
68,"lovesong","the cure",1989,"whenever im alone with you you make me feel like i am home again whenever im alone with you you make me feel like i am whole again whenever im alone with you you make me feel like i am young again whenever im alone with you you make me feel like i am fun again however far away i will always love you however long i stay i will always love you whatever words i say i will always love you i will always love you whenever im alone with you you make me feel like i am free again whenever im alone with you you make me feel like i am clean again however far away i will always love you however long i stay i will always love you whatever words i say i will always love you i will always love you",3
69,"secret rendezvous","karyn white",1989," happiness is where i i think of you and we will get together and rendezvous ill be on time you bring the wine and we will lock the door oh youll be all minealone in my room thoughts of you in my head as i wait the time is soon youll arrive together then well escape into the night on wings of love and do the things that we once dreamed of all aboard in a surrey a first class ticket to ecstasyit wont stop it dont stop a nonstop secret rendezvous it wont stop it dont stop a nonstop secret rendezvousfrom a penthouse view well make love drink champagne by candle light im so glad im in your arms baby i am yours tonight to be with you is all i need so lock the door and throw away the key no one will disturb this groove we could not stop it if we wanted toit wont stop it dont stop a nonstop secret rendezvous it wont stop it dont stop a nonstop secret rendezvous secret rendezvoushappiness is where i i think of you and we will get together and rendezvous ill be on time you bring the wine and we will lock the door oh youll be all minei want you you want me i wanna lock the door throw away the key in ecstasyit wont stop it dont stop a nonstop secret rendezvous it wont stop it dont stop a nonstop secret rendezvousit wont stop it dont stop a nonstop secret rendezvous a secret rendezvousi wanna ride you through by candle light i wanna hurl you and squeeze you through the night so lock the door throw away the key in ecstasyi cant let no one disturb this groove i couldnt stop it if i wanted to its you for me and me for you in a secret rendezvousit wont stop it dont stop a nonstop secret rendezvous it wont stop it dont stop a nonstop secret rendezvousi wanna ride you through by candle light i wanna hurl you and squeeze you through the night so lock the door throw away the key in ecstasyi cant let no one disturb this groove i couldnt stop it if i wanted to its you for me and me for you in a secret rendezvousit wont stop it dont stop a nonstop secret rendezvous it wont stop it dont stop ",1
70,"angel eyes","the jeff healey band",1989,"girl youre lookin so good tonight and every guy has got you in his sights what youre doin with a clown like me you know ive been called worse its got to be one of lifes little mysteries so tonight ill ask the stars above how did i ever win your love yeah what did i do what did i say to turn your angel eyes my way you know im the guy who never learned to dance never even got one second glance i never saw a second glance way across a crowded room was close enough i could look but i could never touch so tonight ill ask the stars above yeah baby how did i ever win your love what did i do what did i say to turn your angel eyes my way dont anyone wake me if its just a dream cause shes the best thing thats ever happened to me all you fellows you can stare at her all you like but this girl that you see shes leavin here with me tonight theres just one more little thing that i need to know if this is love why does it scare me so well it must be somethin that only you can see cause i can feel it baby when you look at me so tonight ill ask all the stars above how did i ever win your love what did i do what did i say to turn your angel eyes my way turn my way",3
71,"patience","guns n roses",1989," one two one two three fourshed a tear cause im missin you im still alright to smile girl i think about you every day now was a time when i wasnt sure but you set my mind at ease there is no doubt youre in my heart nowsaid woman take it slow and itll work itself out fine all we need is just a little patience said sugar make it slow and well come together fine all we need is just a little patience patience mm yeahi sit here on the stairs cause id rather be alone if i cant have you right now ill wait dear sometimes i get so tense but i cant speed up the time but you know love theres one more thing to considersaid woman take it slow and things will be just fine you and ill just use a little patience said sugar take the time cause the lights are shining bright you and ive got what it takes to make it we wont fake it ill never break it cause i cant take itlittle patience mm yeah mm yeah need a little patience yeah just a little patience yeah some more patience yeah ive been walking the streets at night just trying to get it right a little patience yeah its hard to see with so many around you know i dont like being stuck in the crowd could use some patience yeah and the streets dont change but maybe the names i aint got time for the game cause i need you gotta have more patience yeah yeah yeah but i need you all need some patience ooh i need you whoa i need you just a little patience is all you need ooh this time ah ",1
72,"walk on water","eddie money",1989," well if i could walk on water and if i could find some way to prove if i could walk on water would you believe in me my love is so truenananana nanananana nananana nanananana nana nana nana nananana nananana nananana nanawell im no angel now ill admit i made a few bad moves that i should regret i hurt you once  or so you said just one more chance is all you getdidnt mean to do you wrong again worse things have been done by better men baby baby  dont dont treat me this way i know yes ive got to pay now  im still playingwell if i could walk on water and if i could find some way to prove if i could walk on water would you believe in me my love is truenananananananana ohwell all year long i told you lies to err is human forgive is divine dont be a fool dont settle the score cause i cant take it no more i cant take itwell if i could walk on water and if i could find some way to prove if i could walk on water would you believe in me my love is truewell if i could walk on water if i could is that what im gonna have to do if i could walk on water would you believe in me my love is so truenananana nanananana nananana nanananana nananana nananana nananana nana do i have to walk walk walk on water for youhey baby baby theres a little time lets spend it together well get over what we left behind theres a future together yeah well lets stay togetherooh yeah i keep walking and walking and walking for you  for youwell if i could walk on water and if i could find some way to prove if i could walk on water would you believe in me my love is truenananana nanananana if i were to walk now nananana nanananana if i were to walk walk walk nananana nananana nananana nana do i have to walk on water walk on water for younananana nanananana do i have to walk on water nananana nanananana do i have to find some way to prove nananana nananana nananana nana do i have to walk on water walk on water for younananana nanananana do i have to walk on water nananana nanananana do i have to find some way to prove ",1
73,"cover girl","new kids on the block",1989," i get up in the morning and i see your face girl youre looking so good everythings in place dont you know i could never leave your side girl wont you stay here with me and be my bridedont you know youre my kind youre just what i like girl youre everything dont you know youre alright the only girl ive always needed for so longoh oh oh shes my cover girl oh oh oh oh oh oh oh oh oh oh shes my cover girl oh oh oh oh oh oh ohwhen i look through the pages of a magazine still your pretty face is the prettiest ive seen dont you know i only want to be with you no other girl could make me feel the way you doyoure my everythingoh oh oh shes my cover girl oh oh oh oh oh oh oh oh oh oh shes my cover girl oh oh oh oh oh oh ohoh oh oh shes my cover girl oh oh oh oh oh oh oh oh oh oh shes my cover girl oh oh oh oh oh oh ohbase its alright oh yeah its out of sight let me say its alright ahh yeahdont you know i only want to be with you no other girl could make me feel the way you doyoure my everythingoh oh oh shes my cover girl oh oh oh oh oh oh oh oh oh oh shes my cover girl oh oh oh oh oh oh ohoh oh oh shes my shes my cover girl oh yeah cover girl sweet sexy thing oh yeah cover girl oh oh oh cover girl oh oh oh ",1
74,"welcome to the jungle","guns n roses",1989," welcome to the jungle weve got fun and games we got everything you want honey we know the names we are the people that can find whatever you may need if you got the money honey we got your diseasein the jungle welcome to the jungle watch it bring you to your knnn knne knees knees i want to watch you bleed    meaning  byamandah   editor    welcome to the jungle was named the greatest rock song of all time by vh1 in 2009    see all   welcome to the jungle we take it day by day if you want it youre gonna bleed but its the price to pay and youre a very sexy girl thats very hard to please you can taste the bright lights but you wont get there for free in the jungle welcome to the jungle feel my my my serpentine ooh i want to hear you screamwelcome to the jungle it gets worse here every day ya learn to live like an animal in the jungle where we play if you hunger for what you see youll take it eventually you can have everything you want but you better not take it from mein the jungle welcome to the jungle watch it bring you to your knnn knne knees knees i want to watch you bleedand when youre high you never ever want to come down so down so down so down yeahyou know where you are youre down in the jungle baby youre gonna dieee in the jungle welcome to the jungle watch it bring you to your knees knees in the jungle welcome to the jungle feel my my my serpentine in the jungle welcome to the jungle watch it bring you to your knees knees in the jungle welcome to the jungle watch it bring you to you its gonna bring you down ha ",1
75,"shower me with your love","surface",1989," my heart is filled with so much love and i need someone i can call my own to fall in love thats what everyones dreaming of i hold this feeling oh so stronglife is too short to live alone without someone to call my own i will care for you you will care for me our love will live forevershower me with your love shower me with the love that i long for shower me with your love shower me with the love ive been waiting fori close my eyes and pray all my wishes come true every night i go to sleep until youre mine ill wait for you endlessly cant you seefairy tales they do sometimes come true if you believe it could happen to you like the stars that shine way up in the sky our love will live forevershower me with your love shower me with the love that i long for shower me with your love shower me with the love ive been waiting forlike the stars that shine way up in the sky our love will live forever live forevershower me with your love shower me with the love that i long for shower me with your love shower me with the love ive been waiting forshower me with your love shower me with the love ive been waiting for ",1
